YEAR,DEPARTAMENTO,GENERO,ADMISSAO,CONCORRENCIA
1973,D,F,Rejected,2.94
1973,D,F,Accepted,2.94
1973,D,F,Rejected,2.94
1973,B,M,Accepted,1.58
1973,C,F,Rejected,2.86
1973,E,M,Rejected,3.97
1973,A,M,Accepted,1.36
1973,C,F,Rejected,2.86
1973,C,F,Accepted,2.86
1973,B,M,Rejected,1.58
1973,C,F,Rejected,2.86
1973,C,F,Rejected,2.86
1973,B,M,Accepted,1.58
1973,F,M,Rejected,15.19
1973,C,M,Accepted,2.86
1973,B,M,Rejected,1.58
1973,B,M,Accepted,1.58
1973,F,M,Rejected,15.19
1973,D,M,Accepted,2.94
1973,A,M,Rejected,1.36
1973,E,F,Accepted,3.97
1973,F,M,Rejected,15.19
1973,A,M,Accepted,1.36
1973,C,F,Rejected,2.86
1973,B,F,Rejected,1.58
1973,D,M,Accepted,2.94
1973,F,M,Rejected,15.19
1973,F,F,Rejected,15.19
1973,A,M,Rejected,1.36
1973,A,M,Accepted,1.36
1973,A,M,Rejected,1.36
1973,D,M,Accepted,2.94
1973,A,M,Rejected,1.36
1973,A,M,Accepted,1.36
1973,D,M,Rejected,2.94
1973,A,M,Accepted,1.36
1973,D,M,Accepted,2.94
1973,E,F,Rejected,3.97
1973,A,M,Accepted,1.36
1973,C,F,Accepted,2.86
1973,A,M,Rejected,1.36
1973,A,M,Accepted,1.36
1973,C,F,Rejected,2.86
1973,F,F,Rejected,15.19
1973,B,M,Accepted,1.58
1973,A,M,Accepted,1.36
1973,D,F,Rejected,2.94
1973,C,M,Accepted,2.86
1973,A,M,Rejected,1.36
1973,D,F,Rejected,2.94
1973,D,F,Rejected,2.94
1973,C,F,Rejected,2.86
1973,D,M,Rejected,2.94
1973,E,M,Rejected,3.97
1973,B,M,Accepted,1.58
1973,B,F,Accepted,1.58
1973,B,M,Accepted,1.58
1973,D,M,Rejected,2.94
1973,C,F,Rejected,2.86
1973,F,M,Rejected,15.19
1973,A,M,Accepted,1.36
1973,F,M,Rejected,15.19
1973,F,F,Rejected,15.19
1973,C,F,Rejected,2.86
1973,A,M,Accepted,1.36
1973,A,M,Accepted,1.36
1973,E,F,Accepted,3.97
1973,F,F,Rejected,15.19
1973,B,M,Accepted,1.58
1973,A,M,Rejected,1.36
1973,C,F,Rejected,2.86
1973,A,M,Rejected,1.36
1973,C,M,Rejected,2.86
1973,F,M,Rejected,15.19
1973,F,M,Rejected,15.19
1973,C,F,Accepted,2.86
1973,F,M,Rejected,15.19
1973,D,F,Rejected,2.94
1973,A,M,Accepted,1.36
1973,C,M,Accepted,2.86
1973,D,M,Accepted,2.94
1973,B,M,Accepted,1.58
1973,D,M,Rejected,2.94
1973,D,M,Rejected,2.94
1973,F,F,Rejected,15.19
1973,F,F,Rejected,15.19
1973,D,F,Rejected,2.94
1973,A,M,Accepted,1.36
1973,D,F,Rejected,2.94
1973,F,M,Rejected,15.19
1973,A,M,Accepted,1.36
1973,A,F,Accepted,1.36
1973,C,M,Accepted,2.86
1973,A,M,Rejected,1.36
1973,E,F,Rejected,3.97
1973,C,F,Accepted,2.86
1973,A,M,Accepted,1.36
1973,C,F,Rejected,2.86
1973,B,M,Accepted,1.58
1973,B,M,Accepted,1.58
1973,A,F,Accepted,1.36
1973,C,M,Rejected,2.86
1973,C,F,Accepted,2.86
1973,A,M,Rejected,1.36
1973,D,F,Rejected,2.94
1973,B,M,Rejected,1.58
1973,E,F,Rejected,3.97
1973,D,F,Rejected,2.94
1973,D,M,Rejected,2.94
1973,B,M,Accepted,1.58
1973,C,M,Rejected,2.86
1973,C,F,Accepted,2.86
1973,C,M,Accepted,2.86
1973,B,M,Rejected,1.58
1973,F,M,Rejected,15.19
1973,A,M,Accepted,1.36
1973,C,F,Rejected,2.86
1973,A,M,Accepted,1.36
1973,F,M,Rejected,15.19
1973,D,M,Rejected,2.94
1973,A,M,Rejected,1.36
1973,A,M,Accepted,1.36
1973,B,F,Accepted,1.58
1973,C,F,Rejected,2.86
1973,C,M,Rejected,2.86
1973,D,M,Rejected,2.94
1973,A,M,Rejected,1.36
1973,C,F,Accepted,2.86
1973,A,M,Accepted,1.36
1973,A,M,Accepted,1.36
1973,C,M,Accepted,2.86
1973,E,M,Rejected,3.97
1973,A,F,Accepted,1.36
1973,C,M,Rejected,2.86
1973,B,F,Rejected,1.58
1973,D,F,Rejected,2.94
1973,C,F,Rejected,2.86
1973,B,M,Rejected,1.58
1973,C,F,Rejected,2.86
1973,F,M,Rejected,15.19
1973,E,M,Accepted,3.97
1973,F,M,Accepted,15.19
1973,D,M,Accepted,2.94
1973,F,F,Accepted,15.19
1973,D,M,Rejected,2.94
1973,A,M,Rejected,1.36
1973,A,M,Rejected,1.36
1973,A,F,Accepted,1.36
1973,D,F,Accepted,2.94
1973,A,M,Rejected,1.36
1973,B,M,Accepted,1.58
1973,A,M,Accepted,1.36
1973,D,M,Rejected,2.94
1973,F,M,Rejected,15.19
1973,B,M,Accepted,1.58
1973,F,M,Rejected,15.19
1973,C,M,Rejected,2.86
1973,B,M,Rejected,1.58
1973,A,F,Accepted,1.36
1973,A,M,Accepted,1.36
1973,A,M,Accepted,1.36
1973,F,M,Rejected,15.19
1973,F,M,Rejected,15.19
1973,B,M,Accepted,1.58
1973,A,F,Accepted,1.36
1973,D,M,Accepted,2.94
1973,C,F,Rejected,2.86
1973,E,F,Rejected,3.97
1973,F,F,Rejected,15.19
1973,C,M,Rejected,2.86
1973,A,M,Accepted,1.36
1973,F,M,Rejected,15.19
1973,E,M,Accepted,3.97
1973,E,M,Rejected,3.97
1973,A,M,Accepted,1.36
1973,C,F,Accepted,2.86
1973,E,M,Rejected,3.97
1973,A,F,Rejected,1.36
1973,D,F,Rejected,2.94
1973,D,M,Rejected,2.94
1973,C,F,Rejected,2.86
1973,B,M,Accepted,1.58
1973,F,F,Rejected,15.19
1973,D,F,Accepted,2.94
1973,D,M,Rejected,2.94
1973,D,M,Accepted,2.94
1973,C,M,Rejected,2.86
1973,A,M,Accepted,1.36
1973,A,M,Rejected,1.36
1973,A,M,Accepted,1.36
1973,A,F,Accepted,1.36
1973,D,M,Rejected,2.94
1973,A,M,Rejected,1.36
1973,C,M,Accepted,2.86
1973,D,F,Rejected,2.94
1973,C,F,Accepted,2.86
1973,C,F,Rejected,2.86
1973,D,F,Rejected,2.94
1973,F,F,Rejected,15.19
1973,B,M,Accepted,1.58
1973,F,M,Rejected,15.19
1973,E,M,Rejected,3.97
1973,F,M,Rejected,15.19
1973,B,M,Accepted,1.58
1973,D,M,Rejected,2.94
1973,A,M,Accepted,1.36
1973,B,M,Rejected,1.58
1973,C,F,Accepted,2.86
1973,A,M,Accepted,1.36
1973,A,M,Rejected,1.36
1973,C,F,Rejected,2.86
1973,A,M,Accepted,1.36
1973,B,M,Rejected,1.58
1973,A,M,Accepted,1.36
1973,F,F,Rejected,15.19
1973,E,F,Rejected,3.97
1973,F,M,Rejected,15.19
1973,A,M,Accepted,1.36
1973,A,M,Accepted,1.36
1973,F,M,Rejected,15.19
1973,E,F,Rejected,3.97
1973,F,M,Rejected,15.19
1973,A,F,Accepted,1.36
1973,B,M,Accepted,1.58
1973,E,F,Accepted,3.97
1973,B,M,Rejected,1.58
1973,C,F,Rejected,2.86
1973,A,M,Accepted,1.36
1973,D,F,Rejected,2.94
1973,F,M,Rejected,15.19
1973,A,M,Accepted,1.36
1973,F,F,Rejected,15.19
1973,A,F,Accepted,1.36
1973,E,M,Accepted,3.97
1973,B,M,Rejected,1.58
1973,A,M,Rejected,1.36
1973,C,M,Rejected,2.86
1973,B,M,Accepted,1.58
1973,F,M,Accepted,15.19
1973,C,F,Rejected,2.86
1973,A,F,Accepted,1.36
1973,A,M,Accepted,1.36
1973,E,F,Rejected,3.97
1973,A,M,Rejected,1.36
1973,B,M,Accepted,1.58
1973,E,F,Accepted,3.97
1973,A,M,Accepted,1.36
1973,C,F,Accepted,2.86
1973,E,F,Rejected,3.97
1973,B,M,Rejected,1.58
1973,A,M,Accepted,1.36
1973,F,M,Rejected,15.19
1973,A,M,Accepted,1.36
1973,C,F,Rejected,2.86
1973,A,M,Accepted,1.36
1973,A,M,Accepted,1.36
1973,B,M,Accepted,1.58
1973,A,M,Accepted,1.36
1973,D,F,Rejected,2.94
1973,A,M,Accepted,1.36
1973,E,M,Accepted,3.97
1973,C,F,Accepted,2.86
1973,C,F,Rejected,2.86
1973,A,F,Rejected,1.36
1973,C,F,Accepted,2.86
1973,A,M,Rejected,1.36
1973,C,F,Rejected,2.86
1973,F,F,Rejected,15.19
1973,A,M,Rejected,1.36
1973,D,M,Accepted,2.94
1973,A,M,Accepted,1.36
1973,A,M,Rejected,1.36
1973,A,M,Rejected,1.36
1973,B,M,Accepted,1.58
1973,F,M,Accepted,15.19
1973,B,M,Accepted,1.58
1973,B,M,Accepted,1.58
1973,A,M,Accepted,1.36
1973,A,M,Accepted,1.36
1973,A,M,Accepted,1.36
1973,A,M,Accepted,1.36
1973,B,M,Accepted,1.58
1973,F,F,Rejected,15.19
1973,C,F,Accepted,2.86
1973,A,M,Accepted,1.36
1973,D,F,Rejected,2.94
1973,B,M,Accepted,1.58
1973,E,F,Rejected,3.97
1973,B,M,Accepted,1.58
1973,F,F,Rejected,15.19
1973,A,M,Accepted,1.36
1973,F,F,Rejected,15.19
1973,C,M,Accepted,2.86
1973,C,M,Rejected,2.86
1973,F,F,Rejected,15.19
1973,D,M,Rejected,2.94
1973,F,F,Rejected,15.19
1973,A,M,Rejected,1.36
1973,A,M,Rejected,1.36
1973,B,M,Accepted,1.58
1973,D,M,Rejected,2.94
1973,B,M,Rejected,1.58
1973,F,F,Rejected,15.19
1973,C,F,Rejected,2.86
1973,B,M,Accepted,1.58
1973,F,M,Rejected,15.19
1973,B,M,Rejected,1.58
1973,D,M,Rejected,2.94
1973,F,M,Rejected,15.19
1973,D,M,Accepted,2.94
1973,F,M,Rejected,15.19
1973,F,M,Rejected,15.19
1973,A,M,Rejected,1.36
1973,A,M,Rejected,1.36
1973,E,F,Rejected,3.97
1973,E,M,Accepted,3.97
1973,A,M,Accepted,1.36
1973,D,M,Rejected,2.94
1973,A,M,Rejected,1.36
1973,C,F,Rejected,2.86
1973,A,M,Rejected,1.36
1973,C,M,Rejected,2.86
1973,F,M,Rejected,15.19
1973,E,F,Accepted,3.97
1973,D,F,Accepted,2.94
1973,D,F,Rejected,2.94
1973,F,M,Rejected,15.19
1973,A,M,Rejected,1.36
1973,B,M,Rejected,1.58
1973,A,M,Accepted,1.36
1973,F,M,Accepted,15.19
1973,F,F,Rejected,15.19
1973,A,M,Accepted,1.36
1973,B,M,Accepted,1.58
1973,A,F,Accepted,1.36
1973,A,M,Accepted,1.36
1973,B,M,Accepted,1.58
1973,B,F,Accepted,1.58
1973,D,F,Accepted,2.94
1973,A,M,Rejected,1.36
1973,D,F,Rejected,2.94
1973,D,F,Accepted,2.94
1973,F,F,Rejected,15.19
1973,C,F,Rejected,2.86
1973,A,M,Accepted,1.36
1973,A,M,Accepted,1.36
1973,C,F,Rejected,2.86
1973,A,M,Accepted,1.36
1973,F,F,Rejected,15.19
1973,A,M,Rejected,1.36
1973,B,M,Accepted,1.58
1973,F,F,Rejected,15.19
1973,A,F,Accepted,1.36
1973,F,F,Rejected,15.19
1973,B,M,Accepted,1.58
1973,A,M,Accepted,1.36
1973,A,M,Rejected,1.36
1973,C,M,Rejected,2.86
1973,F,F,Accepted,15.19
1973,A,M,Accepted,1.36
1973,C,F,Rejected,2.86
1973,C,M,Rejected,2.86
1973,F,F,Rejected,15.19
1973,F,F,Rejected,15.19
1973,E,F,Rejected,3.97
1973,E,M,Rejected,3.97
1973,A,M,Rejected,1.36
1973,D,F,Rejected,2.94
1973,B,M,Accepted,1.58
1973,F,M,Rejected,15.19
1973,A,M,Accepted,1.36
1973,B,M,Accepted,1.58
1973,E,M,Accepted,3.97
1973,D,M,Rejected,2.94
1973,E,M,Rejected,3.97
1973,D,M,Rejected,2.94
1973,E,M,Accepted,3.97
1973,D,F,Accepted,2.94
1973,A,M,Rejected,1.36
1973,D,M,Accepted,2.94
1973,F,F,Rejected,15.19
1973,F,M,Rejected,15.19
1973,A,M,Accepted,1.36
1973,F,M,Rejected,15.19
1973,E,M,Rejected,3.97
1973,D,F,Rejected,2.94
1973,F,F,Rejected,15.19
1973,B,M,Rejected,1.58
1973,A,F,Accepted,1.36
1973,F,F,Rejected,15.19
1973,E,F,Rejected,3.97
1973,E,M,Accepted,3.97
1973,B,M,Accepted,1.58
1973,D,F,Accepted,2.94
1973,E,M,Rejected,3.97
1973,F,F,Accepted,15.19
1973,A,M,Accepted,1.36
1973,C,F,Accepted,2.86
1973,A,M,Accepted,1.36
1973,D,M,Rejected,2.94
1973,A,M,Rejected,1.36
1973,C,F,Accepted,2.86
1973,F,M,Rejected,15.19
1973,B,M,Rejected,1.58
1973,F,M,Rejected,15.19
1973,E,F,Rejected,3.97
1973,A,M,Accepted,1.36
1973,A,M,Rejected,1.36
1973,D,F,Rejected,2.94
1973,E,F,Rejected,3.97
1973,B,M,Accepted,1.58
1973,D,F,Accepted,2.94
1973,D,F,Rejected,2.94
1973,B,M,Rejected,1.58
1973,C,F,Rejected,2.86
1973,A,M,Rejected,1.36
1973,A,M,Rejected,1.36
1973,A,M,Accepted,1.36
1973,C,M,Accepted,2.86
1973,D,F,Rejected,2.94
1973,A,M,Accepted,1.36
1973,F,F,Rejected,15.19
1973,F,M,Rejected,15.19
1973,A,M,Accepted,1.36
1973,F,F,Rejected,15.19
1973,E,F,Rejected,3.97
1973,A,M,Accepted,1.36
1973,A,M,Accepted,1.36
1973,C,M,Rejected,2.86
1973,F,M,Rejected,15.19
1973,F,M,Rejected,15.19
1973,F,F,Rejected,15.19
1973,B,M,Accepted,1.58
1973,E,F,Accepted,3.97
1973,F,M,Rejected,15.19
1973,A,M,Accepted,1.36
1973,D,F,Rejected,2.94
1973,E,F,Rejected,3.97
1973,A,M,Accepted,1.36
1973,C,M,Rejected,2.86
1973,A,M,Accepted,1.36
1973,A,M,Accepted,1.36
1973,C,F,Rejected,2.86
1973,C,M,Rejected,2.86
1973,E,F,Rejected,3.97
1973,D,F,Rejected,2.94
1973,A,M,Accepted,1.36
1973,C,M,Rejected,2.86
1973,B,M,Accepted,1.58
1973,B,M,Rejected,1.58
1973,F,F,Rejected,15.19
1973,F,F,Rejected,15.19
1973,C,M,Accepted,2.86
1973,C,F,Accepted,2.86
1973,F,F,Rejected,15.19
1973,C,F,Rejected,2.86
1973,E,F,Rejected,3.97
1973,A,M,Accepted,1.36
1973,B,M,Accepted,1.58
1973,F,F,Rejected,15.19
1973,C,M,Accepted,2.86
1973,E,F,Rejected,3.97
1973,F,F,Rejected,15.19
1973,B,M,Accepted,1.58
1973,B,M,Rejected,1.58
1973,F,M,Rejected,15.19
1973,A,F,Rejected,1.36
1973,F,M,Rejected,15.19
1973,A,M,Accepted,1.36
1973,C,F,Rejected,2.86
1973,F,M,Rejected,15.19
1973,E,M,Rejected,3.97
1973,A,M,Accepted,1.36
1973,D,M,Accepted,2.94
1973,F,M,Rejected,15.19
1973,B,M,Rejected,1.58
1973,C,F,Accepted,2.86
1973,A,M,Rejected,1.36
1973,D,F,Rejected,2.94
1973,C,F,Accepted,2.86
1973,C,F,Rejected,2.86
1973,E,F,Accepted,3.97
1973,C,M,Rejected,2.86
1973,C,F,Accepted,2.86
1973,C,F,Rejected,2.86
1973,A,M,Accepted,1.36
1973,D,F,Rejected,2.94
1973,F,M,Accepted,15.19
1973,C,F,Accepted,2.86
1973,E,F,Rejected,3.97
1973,E,M,Accepted,3.97
1973,B,M,Accepted,1.58
1973,A,M,Accepted,1.36
1973,E,F,Rejected,3.97
1973,A,F,Accepted,1.36
1973,E,M,Rejected,3.97
1973,B,M,Rejected,1.58
1973,D,F,Rejected,2.94
1973,C,M,Accepted,2.86
1973,A,M,Accepted,1.36
1973,E,M,Rejected,3.97
1973,E,F,Accepted,3.97
1973,C,M,Accepted,2.86
1973,A,F,Accepted,1.36
1973,F,M,Rejected,15.19
1973,E,F,Accepted,3.97
1973,C,M,Rejected,2.86
1973,D,F,Accepted,2.94
1973,F,M,Rejected,15.19
1973,A,M,Accepted,1.36
1973,D,F,Accepted,2.94
1973,E,F,Rejected,3.97
1973,C,F,Accepted,2.86
1973,D,F,Rejected,2.94
1973,B,M,Accepted,1.58
1973,C,M,Rejected,2.86
1973,D,M,Rejected,2.94
1973,E,F,Rejected,3.97
1973,A,M,Accepted,1.36
1973,A,M,Accepted,1.36
1973,E,F,Rejected,3.97
1973,D,F,Rejected,2.94
1973,C,F,Rejected,2.86
1973,B,M,Accepted,1.58
1973,D,M,Rejected,2.94
1973,D,M,Accepted,2.94
1973,E,M,Accepted,3.97
1973,A,M,Accepted,1.36
1973,F,F,Rejected,15.19
1973,C,F,Accepted,2.86
1973,C,M,Rejected,2.86
1973,B,M,Rejected,1.58
1973,C,F,Accepted,2.86
1973,D,M,Rejected,2.94
1973,E,F,Rejected,3.97
1973,F,F,Rejected,15.19
1973,E,M,Rejected,3.97
1973,C,M,Rejected,2.86
1973,D,M,Rejected,2.94
1973,A,F,Accepted,1.36
1973,E,F,Rejected,3.97
1973,C,F,Rejected,2.86
1973,E,F,Rejected,3.97
1973,F,M,Rejected,15.19
1973,F,F,Rejected,15.19
1973,D,F,Rejected,2.94
1973,F,F,Rejected,15.19
1973,B,M,Rejected,1.58
1973,F,F,Rejected,15.19
1973,A,M,Accepted,1.36
1973,D,F,Accepted,2.94
1973,C,M,Accepted,2.86
1973,D,F,Rejected,2.94
1973,E,F,Rejected,3.97
1973,E,F,Accepted,3.97
1973,D,F,Accepted,2.94
1973,A,M,Accepted,1.36
1973,C,M,Rejected,2.86
1973,E,F,Rejected,3.97
1973,C,F,Rejected,2.86
1973,A,F,Accepted,1.36
1973,A,F,Accepted,1.36
1973,C,M,Rejected,2.86
1973,D,M,Accepted,2.94
1973,E,M,Rejected,3.97
1973,E,F,Accepted,3.97
1973,A,M,Accepted,1.36
1973,A,M,Rejected,1.36
1973,B,M,Accepted,1.58
1973,D,F,Rejected,2.94
1973,A,M,Accepted,1.36
1973,C,M,Accepted,2.86
1973,A,M,Rejected,1.36
1973,B,M,Accepted,1.58
1973,A,M,Accepted,1.36
1973,D,M,Rejected,2.94
1973,A,F,Rejected,1.36
1973,F,M,Accepted,15.19
1973,A,M,Rejected,1.36
1973,A,M,Accepted,1.36
1973,D,M,Rejected,2.94
1973,D,F,Rejected,2.94
1973,C,M,Rejected,2.86
1973,F,M,Rejected,15.19
1973,A,M,Accepted,1.36
1973,F,F,Rejected,15.19
1973,C,F,Rejected,2.86
1973,A,M,Accepted,1.36
1973,C,F,Rejected,2.86
1973,A,M,Accepted,1.36
1973,C,F,Rejected,2.86
1973,B,M,Accepted,1.58
1973,C,F,Rejected,2.86
1973,B,M,Accepted,1.58
1973,A,M,Accepted,1.36
1973,F,M,Rejected,15.19
1973,C,F,Rejected,2.86
1973,A,M,Accepted,1.36
1973,F,M,Rejected,15.19
1973,D,M,Rejected,2.94
1973,A,M,Rejected,1.36
1973,C,F,Rejected,2.86
1973,B,M,Accepted,1.58
1973,D,F,Rejected,2.94
1973,F,F,Accepted,15.19
1973,F,F,Rejected,15.19
1973,F,M,Rejected,15.19
1973,D,M,Rejected,2.94
1973,F,M,Rejected,15.19
1973,E,F,Rejected,3.97
1973,E,F,Rejected,3.97
1973,A,M,Accepted,1.36
1973,B,M,Accepted,1.58
1973,D,F,Accepted,2.94
1973,F,F,Accepted,15.19
1973,A,M,Accepted,1.36
1973,C,F,Rejected,2.86
1973,F,F,Rejected,15.19
1973,F,F,Rejected,15.19
1973,E,F,Rejected,3.97
1973,A,M,Accepted,1.36
1973,F,M,Rejected,15.19
1973,C,F,Rejected,2.86
1973,A,M,Rejected,1.36
1973,B,M,Accepted,1.58
1973,F,F,Rejected,15.19
1973,C,M,Rejected,2.86
1973,C,F,Accepted,2.86
1973,F,M,Accepted,15.19
1973,B,M,Accepted,1.58
1973,C,F,Rejected,2.86
1973,C,M,Rejected,2.86
1973,F,M,Rejected,15.19
1973,A,M,Accepted,1.36
1973,A,M,Rejected,1.36
1973,E,F,Rejected,3.97
1973,F,M,Rejected,15.19
1973,A,M,Accepted,1.36
1973,E,F,Rejected,3.97
1973,A,M,Accepted,1.36
1973,A,M,Accepted,1.36
1973,C,M,Accepted,2.86
1973,B,M,Rejected,1.58
1973,A,M,Accepted,1.36
1973,A,F,Accepted,1.36
1973,A,M,Accepted,1.36
1973,A,M,Accepted,1.36
1973,A,M,Rejected,1.36
1973,C,F,Rejected,2.86
1973,D,M,Rejected,2.94
1973,B,F,Accepted,1.58
1973,A,M,Accepted,1.36
1973,A,M,Rejected,1.36
1973,C,M,Rejected,2.86
1973,D,M,Accepted,2.94
1973,F,F,Rejected,15.19
1973,B,F,Rejected,1.58
1973,F,M,Rejected,15.19
1973,C,F,Accepted,2.86
1973,D,F,Rejected,2.94
1973,A,M,Accepted,1.36
1973,F,M,Rejected,15.19
1973,E,F,Rejected,3.97
1973,E,F,Rejected,3.97
1973,C,M,Accepted,2.86
1973,A,M,Accepted,1.36
1973,D,F,Rejected,2.94
1973,F,M,Rejected,15.19
1973,A,M,Accepted,1.36
1973,C,M,Accepted,2.86
1973,D,M,Rejected,2.94
1973,C,M,Accepted,2.86
1973,C,F,Rejected,2.86
1973,C,F,Accepted,2.86
1973,D,M,Accepted,2.94
1973,B,M,Accepted,1.58
1973,F,F,Rejected,15.19
1973,A,M,Accepted,1.36
1973,B,M,Accepted,1.58
1973,C,M,Accepted,2.86
1973,B,M,Rejected,1.58
1973,C,M,Accepted,2.86
1973,F,M,Rejected,15.19
1973,B,M,Rejected,1.58
1973,A,M,Rejected,1.36
1973,C,F,Rejected,2.86
1973,E,M,Accepted,3.97
1973,C,M,Accepted,2.86
1973,F,M,Rejected,15.19
1973,D,F,Rejected,2.94
1973,C,F,Rejected,2.86
1973,C,F,Rejected,2.86
1973,D,F,Rejected,2.94
1973,C,M,Rejected,2.86
1973,B,M,Accepted,1.58
1973,A,M,Accepted,1.36
1973,F,M,Rejected,15.19
1973,F,M,Rejected,15.19
1973,E,F,Rejected,3.97
1973,D,M,Rejected,2.94
1973,D,F,Rejected,2.94
1973,A,M,Rejected,1.36
1973,C,M,Rejected,2.86
1973,E,M,Accepted,3.97
1973,B,M,Accepted,1.58
1973,C,M,Rejected,2.86
1973,E,M,Rejected,3.97
1973,C,F,Rejected,2.86
1973,B,M,Rejected,1.58
1973,A,M,Accepted,1.36
1973,C,F,Accepted,2.86
1973,E,F,Rejected,3.97
1973,E,M,Rejected,3.97
1973,C,M,Rejected,2.86
1973,E,F,Rejected,3.97
1973,D,F,Accepted,2.94
1973,F,F,Rejected,15.19
1973,C,F,Accepted,2.86
1973,D,M,Rejected,2.94
1973,D,F,Rejected,2.94
1973,C,F,Accepted,2.86
1973,C,M,Rejected,2.86
1973,A,M,Rejected,1.36
1973,C,F,Rejected,2.86
1973,F,M,Rejected,15.19
1973,D,M,Rejected,2.94
1973,E,M,Accepted,3.97
1973,D,F,Accepted,2.94
1973,B,M,Accepted,1.58
1973,C,F,Rejected,2.86
1973,A,M,Accepted,1.36
1973,D,M,Rejected,2.94
1973,A,M,Accepted,1.36
1973,C,F,Rejected,2.86
1973,D,M,Rejected,2.94
1973,B,M,Accepted,1.58
1973,A,M,Rejected,1.36
1973,A,F,Rejected,1.36
1973,A,M,Accepted,1.36
1973,B,M,Accepted,1.58
1973,E,F,Rejected,3.97
1973,E,M,Accepted,3.97
1973,D,M,Rejected,2.94
1973,B,M,Rejected,1.58
1973,E,F,Rejected,3.97
1973,D,M,Accepted,2.94
1973,B,M,Accepted,1.58
1973,E,F,Rejected,3.97
1973,C,M,Rejected,2.86
1973,F,M,Rejected,15.19
1973,D,M,Accepted,2.94
1973,A,M,Accepted,1.36
1973,E,F,Rejected,3.97
1973,A,F,Accepted,1.36
1973,E,M,Rejected,3.97
1973,A,M,Accepted,1.36
1973,B,M,Accepted,1.58
1973,A,M,Accepted,1.36
1973,F,F,Rejected,15.19
1973,B,M,Rejected,1.58
1973,C,M,Accepted,2.86
1973,A,M,Accepted,1.36
1973,A,M,Rejected,1.36
1973,F,F,Rejected,15.19
1973,C,M,Accepted,2.86
1973,F,F,Rejected,15.19
1973,F,F,Rejected,15.19
1973,C,M,Rejected,2.86
1973,D,F,Rejected,2.94
1973,E,F,Rejected,3.97
1973,D,M,Rejected,2.94
1973,B,M,Accepted,1.58
1973,F,F,Rejected,15.19
1973,D,F,Rejected,2.94
1973,A,M,Accepted,1.36
1973,F,M,Rejected,15.19
1973,C,F,Rejected,2.86
1973,A,M,Accepted,1.36
1973,E,M,Accepted,3.97
1973,D,F,Rejected,2.94
1973,A,M,Accepted,1.36
1973,E,F,Accepted,3.97
1973,A,F,Accepted,1.36
1973,B,M,Accepted,1.58
1973,A,F,Accepted,1.36
1973,C,M,Rejected,2.86
1973,A,M,Rejected,1.36
1973,C,F,Rejected,2.86
1973,A,M,Accepted,1.36
1973,C,F,Rejected,2.86
1973,F,F,Rejected,15.19
1973,D,M,Accepted,2.94
1973,C,M,Rejected,2.86
1973,A,M,Accepted,1.36
1973,D,F,Rejected,2.94
1973,E,F,Rejected,3.97
1973,E,M,Accepted,3.97
1973,E,M,Rejected,3.97
1973,A,M,Accepted,1.36
1973,B,M,Accepted,1.58
1973,C,F,Accepted,2.86
1973,B,M,Rejected,1.58
1973,D,F,Rejected,2.94
1973,D,M,Accepted,2.94
1973,A,M,Accepted,1.36
1973,A,M,Accepted,1.36
1973,A,M,Rejected,1.36
1973,E,F,Accepted,3.97
1973,E,F,Rejected,3.97
1973,C,F,Accepted,2.86
1973,B,M,Accepted,1.58
1973,D,F,Rejected,2.94
1973,A,M,Accepted,1.36
1973,F,M,Rejected,15.19
1973,A,M,Accepted,1.36
1973,F,F,Rejected,15.19
1973,D,M,Accepted,2.94
1973,F,F,Rejected,15.19
1973,B,F,Rejected,1.58
1973,F,F,Rejected,15.19
1973,E,M,Rejected,3.97
1973,C,F,Accepted,2.86
1973,D,F,Accepted,2.94
1973,A,M,Accepted,1.36
1973,F,M,Rejected,15.19
1973,A,M,Accepted,1.36
1973,B,M,Rejected,1.58
1973,C,M,Rejected,2.86
1973,B,M,Rejected,1.58
1973,D,M,Accepted,2.94
1973,A,M,Accepted,1.36
1973,A,M,Accepted,1.36
1973,E,F,Rejected,3.97
1973,C,M,Rejected,2.86
1973,A,M,Rejected,1.36
1973,E,M,Rejected,3.97
1973,A,M,Rejected,1.36
1973,F,M,Rejected,15.19
1973,B,M,Rejected,1.58
1973,F,F,Rejected,15.19
1973,D,F,Accepted,2.94
1973,A,M,Rejected,1.36
1973,B,M,Accepted,1.58
1973,C,F,Rejected,2.86
1973,D,M,Accepted,2.94
1973,D,M,Accepted,2.94
1973,B,M,Accepted,1.58
1973,A,M,Accepted,1.36
1973,B,M,Accepted,1.58
1973,D,M,Rejected,2.94
1973,F,F,Rejected,15.19
1973,D,F,Rejected,2.94
1973,D,M,Accepted,2.94
1973,D,M,Rejected,2.94
1973,F,M,Rejected,15.19
1973,B,M,Accepted,1.58
1973,B,M,Accepted,1.58
1973,C,F,Accepted,2.86
1973,F,M,Rejected,15.19
1973,A,M,Accepted,1.36
1973,A,M,Rejected,1.36
1973,F,F,Rejected,15.19
1973,C,M,Rejected,2.86
1973,B,M,Rejected,1.58
1973,F,M,Rejected,15.19
1973,A,M,Rejected,1.36
1973,F,M,Rejected,15.19
1973,D,M,Rejected,2.94
1973,C,M,Accepted,2.86
1973,B,M,Accepted,1.58
1973,E,F,Accepted,3.97
1973,C,M,Accepted,2.86
